bugAlgo,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,r
t1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t3,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t4,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t7,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t8,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t12,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t16,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t18,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t20,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t32,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t33,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t34,1,1,1,1,1,1,1,1,1,0,1,1,1,0
t35,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t36,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t37,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t38,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t39,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t40,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t41,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t42,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t43,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t44,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t45,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t46,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t47,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t48,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t49,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t50,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t51,1,1,1,1,1,1,1,1,1,1,1,1,1,0
